num_arms,n_arm,d1,d2,d3,d4,period_blocks,p0,OR1,OR2,OR3,OR4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.099
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.113
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,timemachine,0.128
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.103
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.124
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,timemachine,0.125
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.066
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.074
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,timemachine,0.1
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.092
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.101
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,timemachine,0.094
